Simulation_ID,Staffing_Model,Patient_Volume,Base_Staffing_Cost,Overtime_Cost,Supply_Cost,Total_Operating_Cost,Reimbursements,Net_Margin,Margin_Percent,Patient_Satisfaction,Staff_Burnout_Index
279,Staffing_Model_B,90,55821.25,2143.77,8831.53,66796.56,85158.48,18361.92,21.56,91.7,3.6
98,Staffing_Model_A,127,36888.65,14438.32,10296.4,61623.38,67004.47,5381.09,8.03,70.5,10
187,Staffing_Model_B,93,49838.84,1203.71,11416.61,62459.16,82617.81,20158.65,24.4,70.6,5.7
160,Staffing_Model_B,83,51765.98,6717.93,9853.84,68337.75,64437.03,-3900.72,-6.05,89.1,3.8
282,Staffing_Model_B,102,49801.52,3916.59,8717.75,62435.86,95189.64,32753.77,34.41,87,3.8
52,Staffing_Model_A,86,43991.52,13415.83,6433.29,63840.63,58436.89,-5403.74,-9.25,64.5,6.9
133,Staffing_Model_A,89,38265.69,14811.98,8988.49,62066.16,87945.47,25879.31,29.43,85.5,7.5
70,Staffing_Model_A,118,38902.99,14336.53,11103.18,64342.71,50063.59,-14279.12,-28.52,78.6,7
80,Staffing_Model_A,103,44067.31,4092.19,7933.21,56092.71,69455.01,13362.31,19.24,65.9,6.5
69,Staffing_Model_A,83,38920.49,11392.74,9765.15,60078.38,80592.6,20514.22,25.45,57.3,6.6
254,Staffing_Model_B,83,47797.69,1160.89,9281.32,58239.9,80613.83,22373.93,27.75,95.5,3.9
118,Staffing_Model_A,131,40562.22,11747.68,6248.42,58558.32,56454.17,-2104.14,-3.73,56.7,6.2
242,Staffing_Model_B,97,50181.06,5139.14,9322.21,64642.41,71748.09,7105.69,9.9,73.6,3.3
63,Staffing_Model_A,80,41779.28,16006.15,8729.63,66515.06,88693.96,22178.9,25.01,79.5,6.6
111,Staffing_Model_A,81,41250.86,13748.55,7922.49,62921.91,73837.57,10915.67,14.78,91.2,8.8
22,Staffing_Model_A,83,36617.66,10048.98,6608.44,53275.08,106138,52862.92,49.81,69.6,8.2
236,Staffing_Model_B,108,47335.32,6360.16,7159.82,60855.3,88616.5,27761.21,31.33,78.1,4.2
50,Staffing_Model_A,93,41143.29,7706.28,8313.34,57162.91,68994.9,11831.98,17.15,76.4,6.7
45,Staffing_Model_A,85,42539.26,9633.95,7967.41,60140.62,75745.14,15604.52,20.6,73.3,4.7
135,Staffing_Model_A,110,43312.8,18111.48,8404.88,69829.15,79922.86,10093.71,12.63,53.6,4.9
210,Staffing_Model_B,64,57744.15,2602.17,7940.91,68287.23,88993.29,20706.06,23.27,90.9,5.9
151,Staffing_Model_B,86,59992.87,6599.68,9227.95,75820.49,84112.97,8292.48,9.86,95.8,3.5
185,Staffing_Model_B,60,56540.29,319.23,10179.74,67039.26,66202.45,-836.81,-1.26,89.5,4.9
164,Staffing_Model_B,99,47583.83,4471.66,8159.68,60215.17,92225.81,32010.64,34.71,85.9,4.3
126,Staffing_Model_A,75,41797.98,4494.19,8113.4,54405.58,67588.86,13183.28,19.51,64.7,7.7
228,Staffing_Model_B,84,52480.82,1382.28,10157.38,64020.48,48304,-15716.48,-32.54,90.7,2.9
180,Staffing_Model_B,100,50318.03,0,7917.51,58235.54,82495.85,24260.32,29.41,98.4,3.4
238,Staffing_Model_B,119,47596.18,5169.21,7820.47,60585.86,69863.8,9277.94,13.28,66,3.1
119,Staffing_Model_A,97,48657.17,15335.31,9849.17,73841.65,85567.82,11726.16,13.7,67.1,9.8
36,Staffing_Model_A,70,33049.64,0,9897.67,42947.31,84843.47,41896.16,49.38,59,10
73,Staffing_Model_A,106,35583.24,18499.39,9476.8,63559.42,75082.26,11522.83,15.35,64.5,8.2
139,Staffing_Model_A,88,42234.41,8567.39,9259.1,60060.9,63288.82,3227.92,5.1,75.7,7.1
42,Staffing_Model_A,79,47743.08,6648.09,8942.94,63334.11,81973.9,18639.78,22.74,72.8,7.3
273,Staffing_Model_B,102,49286.88,4159.53,7672.39,61118.8,72283.01,11164.22,15.45,100,4.4
214,Staffing_Model_B,98,51602.08,494.39,9761.08,61857.55,76049.71,14192.16,18.66,88.3,6
265,Staffing_Model_B,85,55062.6,8564.75,8661.43,72288.78,72107.89,-180.89,-0.25,85,4.4
5,Staffing_Model_A,109,36203.37,11330.85,8591.83,56126.05,76190.47,20064.42,26.33,90.3,5.7
105,Staffing_Model_A,68,44983.81,8571.44,9897,63452.25,73553.61,10101.35,13.73,57.5,9
85,Staffing_Model_A,71,37059.14,15227.71,8670.13,60956.98,69405.77,8448.79,12.17,72.7,5
207,Staffing_Model_B,102,48963.73,2046.92,9179.72,60190.37,89669.88,29479.51,32.88,100,3.9
198,Staffing_Model_B,87,50060.01,3809.82,8177.28,62047.11,58476.39,-3570.73,-6.11,85.7,4.9
244,Staffing_Model_B,111,49602.87,2839.49,7515.53,59957.88,69356.41,9398.53,13.55,90,3.9
268,Staffing_Model_B,109,53026.71,4663.37,9848.62,67538.71,88419.1,20880.39,23.62,81.8,7.1
168,Staffing_Model_B,99,53480.35,5746.32,6870.03,66096.7,67325.36,1228.65,1.82,83.1,3.1
221,Staffing_Model_B,98,48762.01,2800.24,10069.8,61632.06,83517.06,21885,26.2,74.4,4.3
46,Staffing_Model_A,80,42683.77,13356.28,9285.61,65325.66,75728.52,10402.86,13.74,70.7,10
61,Staffing_Model_A,76,41465.24,9005.8,10438.4,60909.44,86236.06,25326.62,29.37,71.2,8.5
245,Staffing_Model_B,93,55873.49,1498.49,8509.46,65881.44,72014.01,6132.57,8.52,69.1,6.2
123,Staffing_Model_A,69,41279.08,10682.4,11357.94,63319.42,69656.59,6337.17,9.1,68.9,7.3
43,Staffing_Model_A,107,37682.88,11386.42,5628.05,54697.35,66565.51,11868.16,17.83,72.6,5.7
90,Staffing_Model_A,80,41141.93,9489.93,9255.38,59887.24,68007.69,8120.44,11.94,55.2,6.8
172,Staffing_Model_B,81,50633.86,2225.06,8015.29,60874.21,72879.42,12005.22,16.47,87.5,4.8
102,Staffing_Model_A,70,44754.77,12708.7,9466.12,66929.59,65533.3,-1396.29,-2.13,91.8,8.7
